IPC-Section,Description,Offense,,,
352,if someone assaults or uses criminal force against another person without any serious and sudden provocation,"During a casual gathering at a community event, tensions escalated between Rachel and Alex due to a minor disagreement. Later, when the event had settled down, Alex, seemingly without any provocation, initiated a physical assault on Rachel.",,,
352,if someone assaults or uses criminal force against another person without any serious and sudden provocation,"In a workplace setting, Michelle, a colleague known for her temper, suddenly lashed out at Brian during a team meeting. Without any discernible reason or prior altercation, Michelle physically confronted Brian, causing both shock and distress among their colleagues.",,,
353,"if someone assaults or uses criminal force against a public servant while they are performing their duty, or with the intent to prevent or deter them from doing so, or as a consequence of their lawful actions as a public servant","Late one night, Officer Anderson responded to a distress call at a rowdy nightclub. As he attempted to diffuse a volatile situation, unruly patrons grew increasingly aggressive. Ignoring the officer's orders, Jake, a disgruntled individual, physically attacked Officer Anderson, attempting to hinder the officer's efforts to restore order. ",,,
353,"if someone assaults or uses criminal force against a public servant while they are performing their duty, or with the intent to prevent or deter them from doing so, or as a consequence of their lawful actions as a public servant","During a routine traffic stop, Constable Ramirez noticed a suspicious vehicle exhibiting erratic behavior. As she approached to conduct an inspection, the driver, Mr. Johnson, grew confrontational. In a brazen attempt to evade scrutiny, Mr. Johnson assaulted Constable Ramirez, obstructing her from performing her duty. ",,,
354,"anyone who assaults or uses criminal force against a woman with the intention of outraging her modesty, or knowing that such an act is likely to outrage her modesty","in a crowded public transport setting, Rachel found herself surrounded by a group of unruly individuals. Among them, James, with a sinister intent, deliberately touched Rachel inappropriately without her consent. Rachel, feeling violated and distressed, recognized this as a deliberate act to outrage her modesty.",,,
354,"anyone who assaults or uses criminal force against a woman with the intention of outraging her modesty, or knowing that such an act is likely to outrage her modesty","During a festive celebration in a local community, Emma was targeted by David, a neighbor, who took advantage of the bustling crowd. David, with a premeditated motive, assaulted Emma by making lewd gestures and unwarranted physical contact. The act was not only an invasion of Emma's personal space but also a deliberate attempt to outrage her modesty. ",,,
355," if someone intentionally assaults or uses criminal force against another person to dishonor them, except in cases of serious and sudden provocation from that person","In a prestigious social gathering, tensions ran high between Olivia and Samantha due to a longstanding rivalry. Fueled by envy, Olivia, with calculated intent, approached Samantha and, without any provocation, deliberately slapped her in front of the assembled guests. The act of assault was not only physically injurious but also aimed at dishonoring Samantha publicly.",,,
355," if someone intentionally assaults or uses criminal force against another person to dishonor them, except in cases of serious and sudden provocation from that person","tensions simmered between two families, the Patels and the Kumars, due to a property dispute. One evening, at a community event, Rahul Patel, harboring a deep-seated animosity, deliberately humiliated Anika Kumar by physically assaulting her in a calculated move to disgrace the Kumar family. ",,,
356,someone assaults or uses criminal force against another person while attempting to steal something that person is wearing or carrying,"Sarah was walking home when suddenly, a masked assailant, later identified as Jake, approached with the intent to steal her valuable necklace. In the process of attempting to snatch the necklace, Jake resorted to force, violently grabbing at Sarah's neck, causing both physical harm and emotional distress.",,,
356,someone assaults or uses criminal force against another person while attempting to steal something that person is wearing or carrying,"Alex targeted unsuspecting commuters in a calculated attempt to steal their wallets. Spotting an opportunity, he forcefully grabbed at Maria's handbag, attempting to snatch it away. In the process, he resorted to physical force, pushing Maria aside to facilitate his criminal intent.",,,
357,someone assaults or uses criminal force against another person while trying to wrongfully confine them,"Sarah found herself entangled in a terrifying situation when Jake, her disgruntled coworker, forcibly blocked her exit and physically restrained her. With hostile intent, Jake aimed to wrongfully confine Sarah, assaulting her in the process. ",,,
357,someone assaults or uses criminal force against another person while trying to wrongfully confine them,"on a desolate street,Ryan confronted Emma, using coercive tactics to restrict her movement. With a menacing demeanor, he assaulted her, attempting to confine her against her will. ",,,
358,someone assaults or uses criminal force against another person due to a serious and sudden provocation,"tensions escalated between two vendors, Rahul and Deepak, over a longstanding business rivalry. In a sudden fit of intense provocation, Deepak, unable to contain his anger, impulsively struck Rahul.",,,
358,someone assaults or uses criminal force against another person due to a serious and sudden provocation,"emotions ran high as siblings Ananya and Rohan engaged in a heated argument over an inheritance dispute. Fueled by longstanding grievances, Rohan, provoked by Ananya's accusations, impulsively used force against her. ",,,
359,defines two types of kidnapping: kidnapping from India and kidnapping from lawful guardianship.,"Sarah was playing in a park when a stranger, Jake, forcefully grabbed her and swiftly led her away. Unbeknownst to Sarah's parents, Jake's act constitutes kidnapping  as he took her away without her consent and without lawful justification. ",,,
359,defines two types of kidnapping: kidnapping from India and kidnapping from lawful guardianship.,"Amid a custody battle between divorced parents, Ryan, feeling desperate to assert control, snatched his own child, Lily, from the school premises without the custodial parent's consent.",,,
360,says that taking a person outside India without their consent or the consent of someone authorized to consent on their behalf is considered kidnapping from India.,"Without her consent, Alex takes his niece out of India, disregarding the legal requirement for consent. Alex's action of removing the person from the country without proper authorization constitutes kidnapping from India.",,,
360,says that taking a person outside India without their consent or the consent of someone authorized to consent on their behalf is considered kidnapping from India.,"Daniel, against the individual's will, takes his elderly relative out of India without obtaining the required consent. Daniel's act of removing the person from the country without proper authorization qualifies as kidnapping from India",,,
361,states that taking a minor or a person of unsound mind away from their lawful guardian without their consent is considered kidnapping.,"Rebecca, without the consent of the lawful guardian, takes a minor child away from their home. Rebecca's action of removing the child without proper authorization constitutes kidnapping as per the law",,,
361,states that taking a minor or a person of unsound mind away from their lawful guardian without their consent is considered kidnapping.,"Christopher, against the consent of the legal guardian, takes a person of unsound mind away from their residence. Christopher's act of removing the individual without proper authorization qualifies as kidnapping under the law.",,,
362," if someone uses force or deceitful means to make a person leave a place, it is considered abduction.","Using deceit, Rachel convinces her colleague to leave the workplace under false pretenses, intending to harm their reputation. Rachel's actions of employing deceitful means to make the person leave the place can be considered abduction",,,
362," if someone uses force or deceitful means to make a person leave a place, it is considered abduction.","Thomas, employing force, compels a business competitor to leave a meeting venue by physically threatening harm. Thomas's use of force to make the person leave the place constitutes an act of abduction.",,,
363,anyone who kidnaps a person from India or from lawful guardianship,"in 2018, a group of kidnappers attempted to abduct a high-profile businessman in Surat, Gujarat",,,
363,anyone who kidnaps a person from India or from lawful guardianship," In another case, four sons of a South African businessman were kidnapped while on their way to school",,,
363,anyone who kidnaps a person from India or from lawful guardianship,"John Paul Getty III: In 1973, John Paul Getty III, the grandson of billionaire J. Paul Getty, was kidnapped in Rome by a group of Italian gangsters 1",,,
363,anyone who kidnaps a person from India or from lawful guardianship,"Without any legal authority, Emma kidnaps a child from India, separating them from their lawful guardians. Emma's act of forcibly taking the child from their legal guardianship constitutes kidnapping.",,,
363,anyone who kidnaps a person from India or from lawful guardianship,"Jason, with malicious intent, kidnaps a person from India, taking them away from their lawful guardianship. Jason's act of removing the individual without proper authorization constitutes a kidnapping offense.",,,
364,anyone who kidnaps or abducts a person with the intention of either murdering them or putting them in danger of being murdered,"In a sinister plot, Alex kidnaps his business rival with the intention of putting them in danger of being murdered, aiming to eliminate competition. Alex's act of abducting the person with a murderous intent constitutes a grave offense.",,,
364,anyone who kidnaps or abducts a person with the intention of either murdering them or putting them in danger of being murdered,"Rachel, seeking revenge, kidnaps an individual with the intent of endangering them, exposing them to the risk of murder. Rachel's act of abduction with the intention of putting the person in danger of being murdered constitutes a serious criminal offense",,,
365,anyone who kidnaps or abducts a person with the intention of secretly and wrongfully confining them,"In a shocking turn of events, a disgruntled former employee kidnapped the company CEO, demanding a hefty ransom for their release.",,,
365,anyone who kidnaps or abducts a person with the intention of secretly and wrongfully confining them,"A politically motivated group orchestrated the abduction of a prominent journalist, aiming to silence their critical reporting on corruption within the government.",,,
366,"anyone who kidnaps or abducts a woman with the intention of forcing her into marriage against her will or into illicit intercourse, or anyone who induces a woman through criminal intimidation or abuse of authority to go to a place where she may be forced or seduced into illicit intercourse","A ruthless human trafficker abducted a vulnerable woman, using coercion and threats to force her into a marriage she never consented to, exploiting her for his criminal gains.",,,
366,"anyone who kidnaps or abducts a woman with the intention of forcing her into marriage against her will or into illicit intercourse, or anyone who induces a woman through criminal intimidation or abuse of authority to go to a place where she may be forced or seduced into illicit intercourse","A cunning gang lured a young woman to a remote location through manipulation, intending to subject her to illicit activities against her will, highlighting the darker side of their organized criminal endeavors.",,,
367,"anyone who kidnaps or abducts a person with the intention of subjecting them to grievous hurt, slavery, or unnatural lust, or if they know it's likely to happen","A sinister human trafficking ring kidnapped individuals with the explicit intention of subjecting them to grievous harm, forced labor, and heinous acts, exploiting their vulnerability for profit.",,,
367,"anyone who kidnaps or abducts a person with the intention of subjecting them to grievous hurt, slavery, or unnatural lust, or if they know it's likely to happen","In a harrowing case, a psychopathic criminal abducted innocent victims, fully aware that they would be subjected to slavery, brutal violence, and unspeakable acts of unnatural lust in the underground criminal network.",,,
368,anyone who hides or keeps a kidnapped or abducted person against their will shall be punished as if they were the one who kidnapped or abducted the person with the same intent or knowledge.,"A close associate of the kidnapper concealed the abducted person in a secret location, fully complicit in the criminal act and facing legal consequences as if they had committed the abduction themselves.",,,
368,anyone who hides or keeps a kidnapped or abducted person against their will shall be punished as if they were the one who kidnapped or abducted the person with the same intent or knowledge.,"Knowing the sinister intent behind the kidnapping, an accomplice harbored the victim, becoming equally culpable in the eyes of the law for actively participating in the unlawful confinement against the victim's will.",,,
369,anyone who kidnaps a child under ten years of age with the intention of dishonestly taking their property can be punished with imprisonment for up to seven years and fined.,"A cunning criminal kidnapped a child under ten, driven by the intention to dishonestly seize their family's wealth, risking imprisonment for up to seven years and hefty fines for this egregious act.",,,
369,anyone who kidnaps a child under ten years of age with the intention of dishonestly taking their property can be punished with imprisonment for up to seven years and fined.,"Motivated by greed, a ruthless kidnapper targeted a child under ten, aiming to exploit the innocence of the victim for personal financial gain through illicit means.",,,
370," anyone who recruits, transports, harbors, transfers, or receives a person through threats, force, coercion, abduction, fraud, inducement, or abuse of power for exploitation commits the offense of trafficking ","A criminal network recruited vulnerable individuals through deceit and coercion, exploiting their dire circumstances for forced labor and other forms of exploitation in a web of trafficking operations.",,,
370," anyone who recruits, transports, harbors, transfers, or receives a person through threats, force, coercion, abduction, fraud, inducement, or abuse of power for exploitation commits the offense of trafficking ","In a sinister scheme, a human trafficker used a combination of fraud and inducement to entrap victims, orchestrating their transportation and subsequent exploitation through manipulation and abuse of power.",,,
371,"anyone who regularly engages in importing, exporting, buying, selling, trafficking, or dealing in slaves","A shadowy human trafficking ring, driven by profit, systematically imported and exported vulnerable individuals, engaging in the despicable trade of buying and selling human lives for exploitation and forced labor.",,,
371,"anyone who regularly engages in importing, exporting, buying, selling, trafficking, or dealing in slaves","A nefarious figure regularly conducted the illicit business of trafficking, importing and exporting individuals to various locations for forced labor and exploitation, callously treating human beings as commodities.",,,
372,"anyone who sells, rents out, or transfers a person under 18 years of age with the intention of using them for prostitution, illicit intercourse, or any unlawful and immoral purpose",Selling or letting to hire a minor for purposes of prostitution.,,,
372,"anyone who sells, rents out, or transfers a person under 18 years of age with the intention of using them for prostitution, illicit intercourse, or any unlawful and immoral purpose",Selling or letting to hire a minor for purposes of prostitution.,,,
373,"anyone who acquires a person under 18 years of age with the intention of using them for prostitution, illicit intercourse, or any unlawful and immoral purpose",10 men on changes ranging from online solicitation of a minor to soliciting prostitution.,,,
373,"anyone who acquires a person under 18 years of age with the intention of using them for prostitution, illicit intercourse, or any unlawful and immoral purpose",Two San Antonians have been accused of taking part in an operation that prostituted a 16-year-old homeless girl.,,,
374,anyone who forces a person to work against their will,An unscrupulous employer exploiting vulnerable workers by subjecting them to oppressive working conditions and minimal pay.,,,
374,anyone who forces a person to work against their will,Human traffickers coercing individuals into forced labor through deception and manipulation. A corrupt business owner pressuring employees to work overtime without proper compensation.,,,
375,"A man is said to commit “rape” if he—
penetrates his penis, to any extent, into the vagina, mouth, urethra or anus of a woman or makes her to do so with him or any other person; or
inserts, to any extent, any object or a part of the body, not being the penis, into the vagina, the urethra or anus of a woman or makes her to do so with him or any other person; or
manipulates any part of the body of a woman so as to cause penetration into the vagina, urethra, anus or any part of body of such woman or makes her to do so with him or any other person; or
applies his mouth to the vagina, anus, urethra of a woman or makes her to do so with him or any other person, under the circumstances falling under any of the following seven descriptions:
Against her will.
Without her consent.
With her consent, when her consent has been obtained by putting her or any person in whom she is interested, in fear of death or of hurt.
With her consent, when the man knows that he is not her husband and that her consent is given because she believes that he is another man to whom she is or believes herself to be lawfully married.
With her consent when, at the time of giving such consent, by reason of unsoundness of mind or intoxication or the administration by him personally or through another of any stupefying or unwholesome Substance, she is unable to understand the nature and consequences of that to which she gives consent.
With or without her consent, when she is under eighteen years of age.
When she is unable to communicate consent.
Explanations
For the purposes of this section, “vagina” shall also include labia majora.
Consent means an unequivocal voluntary agreement when the woman by words, gestures or any form of verbal or non-verbal communication, communicates willingness to participate in the specific sexual act;

Provided that a woman who does not physically resist to the act of penetration shall not by the reason only of that fact, be regarded as consenting to the sexual activity.
Exceptions
A medical procedure or intervention shall not constitute rape.
Sexual intercourse or sexual acts by a man with his own wife, the wife not being under fifteen years of age, is not rape.",the accused and the victim worked in the same bank. After some time they married and started cohabiting in 1990. The victim was pregnant in 1991 and was asked to abort her child. She again became pregnant and during that time she learned from one of her husband’s friends that he was already married before marrying her. She tried to contact the accused after this but he was nowhere to be found. She filed a complaint against him.,,,
375,"A man is said to commit “rape” if he—
penetrates his penis, to any extent, into the vagina, mouth, urethra or anus of a woman or makes her to do so with him or any other person; or
inserts, to any extent, any object or a part of the body, not being the penis, into the vagina, the urethra or anus of a woman or makes her to do so with him or any other person; or
manipulates any part of the body of a woman so as to cause penetration into the vagina, urethra, anus or any part of body of such woman or makes her to do so with him or any other person; or
applies his mouth to the vagina, anus, urethra of a woman or makes her to do so with him or any other person, under the circumstances falling under any of the following seven descriptions:
Against her will.
Without her consent.
With her consent, when her consent has been obtained by putting her or any person in whom she is interested, in fear of death or of hurt.
With her consent, when the man knows that he is not her husband and that her consent is given because she believes that he is another man to whom she is or believes herself to be lawfully married.
With her consent when, at the time of giving such consent, by reason of unsoundness of mind or intoxication or the administration by him personally or through another of any stupefying or unwholesome Substance, she is unable to understand the nature and consequences of that to which she gives consent.
With or without her consent, when she is under eighteen years of age.
When she is unable to communicate consent.
Explanations
For the purposes of this section, “vagina” shall also include labia majora.
Consent means an unequivocal voluntary agreement when the woman by words, gestures or any form of verbal or non-verbal communication, communicates willingness to participate in the specific sexual act;

Provided that a woman who does not physically resist to the act of penetration shall not by the reason only of that fact, be regarded as consenting to the sexual activity.
Exceptions
A medical procedure or intervention shall not constitute rape.
Sexual intercourse or sexual acts by a man with his own wife, the wife not being under fifteen years of age, is not rape.",the accused and the victim were neighbours. They fell in love and the accused forced the girl for sexual intercourse. He promised her that he would be marrying her and continued to have sexual relations with her. The girl’s parents came to know when she became pregnant so they reported against him. He said that he never forced the girl and she was the one who consented.,,,
376,Rape by a public officer and rape committed by a person in a position of trust or authority or by a near relative of the person raped.,"A young girl named Mathura, nearly aged between 14-16 years, was an orphan belonging to an adivasi tribe.However, a constable named Ganapat asked Mathura to stay back. Sadly, after shutting the doors and turning off the lights, he took her inside a washroom and raped her. This teenage girl tried hard to resist and escape his clutches, but to no avail. Unfortunately, after Ganpat, another police officer named Tukaram entered the washroom and fondled her private parts. He even tried to commit rape but did not succeed as he was under the influence of alcohol.",,,
376,Rape by a public officer and rape committed by a person in a position of trust or authority or by a near relative of the person raped.,"In this case, Maya Tyagi, a six months pregnant lady.Maya Tyagi, along with her husband, Ishwar Singh Tyagi, and two of his friends were travelling to attend a wedding, however, one of the car tires got punctured.However, when the car had moved 4 to 6 paces, an army of around 10-11 policemen, including Narendra Singh, reached the place.The S.I. came from behind and fired on Ishwar Tyagi and his two friends, also attacking them with sticks (dandas). Further, four police officials pulled Maya Tyagi out of the car and started assaulting her. They even tore her blouse, petticoat, and saree, thus stripping her to nothing.",,,
376,Rape by a public officer and rape committed by a person in a position of trust or authority or by a near relative of the person raped.,"Rameeza Bee, a working class woman, aged about 26 years along with her husband, Ahmed Husain, a rickshaw puller by profession  were returning from a late night movie show.To answer nature’s call, her husband strapped out of the auto rickshaw, whereas, Rameeza remained seated inside the vehicle. Two constables, named Rao and Hussain, on watching her sitting alone, caught hold of her and dragged her to the Nallakunta police station. She kept protesting and saying her husband was with her and that she was waiting for her husband but the constables refused to pay heed to her cry.Meanwhile, Rameeza Bee was illegally detained and raped by police officials on that night.",,,
376,"Whoever, commits rape",23 years old and her friend were returning after watching a film in a movie theatre in South Delhi. They were waiting for the bus and when the bus arrived they hopped on realizing that there were 5 adults and 1 minor already present on the bus. The six people ruthlessly and repeatedly gang-raped her and tortured her after beating up her friend.,,,
376,"Whoever, commits rape",If an accused strips a girl naked and then making her lie flat on the ground undresses himself and then forcibly rubs his erected penis on the private parts of the girl but fails to penetrate the same into the vagina and on such rubbing ejaculates himself then it is difficult for us to hold ...,,,
377," Whoever voluntarily has carnal intercourse against the order of nature with any man, woman or animal,","An individual engaging in consensual same-sex relationships in a jurisdiction where such acts are deemed criminal under laws prohibiting intercourse ""against the order of nature."" The legal implications and societal attitudes create challenges for individuals expressing their sexual orientation freely.",,,
377," Whoever voluntarily has carnal intercourse against the order of nature with any man, woman or animal,","A person facing legal consequences for consensual adult activities that fall under laws criminalizing intercourse ""against the order of nature,"" illustrating the clash between personal choices and legal restrictions in certain jurisdictions. The complexity of navigating one's sexuality within a legal framework reflects broader debates on individual freedoms and societal norms.",,,
378,moving someone's movable property with the intention of dishonestly taking it without their consent constitutes theft.," John discreetly moving his colleague's laptop without consent, intending to dishonestly take possession of it, constitutes theft. The act involves the unauthorized relocation of movable property with the intention of depriving the owner of their rightful possession.",,,
378,moving someone's movable property with the intention of dishonestly taking it without their consent constitutes theft.,"Lisa, with the intention of dishonestly taking possession, moves her friend's camera without consent, constituting theft. This act involves the unauthorized relocation of movable property and reflects the unlawful deprivation of the owner's belongings.",,,
379,anyone who commits theft,"Sarah discreetly takes her roommate's jewelry without permission, constituting theft. The act involves the unauthorized appropriation of someone else's belongings with the intention of depriving them of their rightful possession.",,,
379,anyone who commits theft,"Mark, with the intention of dishonestly acquiring property, secretly takes his colleague's smartphone without consent, representing an act of theft. This involves the unauthorized possession of another person's belongings with the aim of depriving them of their rightful ownership.",,,
380,"if someone steals from a building, tent, or vessel used as a home or for keeping the property","James unlawfully takes valuable items from a tent used as a temporary residence during a camping trip, constituting theft. The act involves the illicit appropriation of property from a structure intended for habitation or safeguarding belongings.",,,
380,"if someone steals from a building, tent, or vessel used as a home or for keeping the property","Emily steals personal belongings from a boat used as a dwelling, illustrating theft committed within a vessel designated as a home or property storage. The act involves the unauthorized taking of possessions from a structure meant for habitation or safekeeping.",,,
381,if a clerk or servant steals any property that belongs to their employer,"A clerk named Alex pilfers office supplies from the employer's stockroom, constituting theft of property owned by the employer. This act involves the illicit acquisition of belongings by an employee in breach of trust.
",,,
381,if a clerk or servant steals any property that belongs to their employer,"A household servant named Maria dishonestly takes money from her employer's wallet, illustrating theft of property that belongs to the employer. This act involves the misappropriation of belongings by an employee in violation of their entrusted role.",,,
382,if a person commits theft and prepares to cause harm or fear to someone to facilitate the theft or escape afterward,"In planning a theft, Sam brandishes a weapon to intimidate and create fear, aiming to facilitate the theft and ensure a successful escape. The use of threat or harm becomes a means to achieve the criminal objective, escalating the gravity of the act.",,,
382,if a person commits theft and prepares to cause harm or fear to someone to facilitate the theft or escape afterward,"During a planned theft, Rachel carries a concealed weapon, intending to cause fear and facilitate her escape afterward. The act involves a calculated use of intimidation to ensure the successful execution of the theft and the perpetrator's getaway.",,,
383,"whoever intentionally puts someone in fear of injury and thereby dishonestly forces them to give up property or valuable items commits ""extortion.""","Sarah threatens to harm her neighbor's family unless they hand over a substantial sum of money, constituting extortion. By intentionally instilling fear of injury, she manipulates them into relinquishing their property under the duress of potential harm.",,,
383,"whoever intentionally puts someone in fear of injury and thereby dishonestly forces them to give up property or valuable items commits ""extortion.""","John, wielding damaging information about his colleague's personal life, coerces them into surrendering valuable possessions to avoid public exposure. This act of extortion involves intentionally creating fear of harm to extract property or valuables dishonestly.",,,
384,whoever commits extortion,"Mike, threatening to reveal sensitive information about a business executive's financial dealings unless a substantial amount is paid, engages in extortion. Through intentional coercion and fear, he aims to obtain money by exploiting the vulnerability of the executive's reputation.",,,
384,whoever commits extortion,"Lisa, armed with damaging evidence of her co-worker's confidential struggles, demands a significant sum of money to keep the information secret, committing extortion. Her deliberate use of coercion and fear is intended to secure financial gain by exploiting the individual's vulnerability.",,,
385,if someone tries to put a person in fear of any injury in order to commit extortion,"Jake threatens to reveal compromising photographs of his co-worker unless they transfer a significant amount of money to his account, attempting to instill fear and commit extortion. By exploiting the fear of personal embarrassment and reputational damage, he aims to coerce compliance with his financial demands.",,,
385,if someone tries to put a person in fear of any injury in order to commit extortion,"Sophie warns her business partner that she will physically harm their family members unless they transfer funds to her account, attempting to create fear and commit extortion. The threat exploits the emotional attachment to loved ones to coerce compliance with her financial demands.",,,
386,Whoever commits extortion by putting any person in fear of death or of grievous hurt to that person or to any other,"Alex threatens to cause severe harm to his business rival's family unless a large sum of money is paid, attempting to induce fear of grievous hurt and commit extortion. The threat leverages the safety of loved ones to coerce compliance with his financial demands.",,,
386,Whoever commits extortion by putting any person in fear of death or of grievous hurt to that person or to any other,"Maria warns her debtor that she will inflict life-threatening harm on them unless they settle the outstanding debt immediately, attempting to create fear of death and commit extortion. The threat exploits the fear of mortal danger to coerce compliance with her financial demands.",,,
387,if someone attempts to extort from another person by putting them in fear of death or grievous hurt,"In an attempt to extort money, Tom sends a menacing letter to his business partner, threatening to cause grave harm to their family unless a substantial sum is paid promptly. Tom's intention is to induce fear of grievous hurt and coerce compliance with his financial demands.",,,
387,if someone attempts to extort from another person by putting them in fear of death or grievous hurt,"Emily attempts to extort money from her former colleague by making threatening phone calls, claiming she will cause severe harm to the colleague's loved ones unless a significant amount is transferred to her account. Her goal is to instill fear of grievous hurt and force compliance with her financial demands.",,,
388,if someone commits extortion by putting another person in fear of false accusations related to serious crimes,"With the intention of committing extortion, Jake coerces his business associate into paying a significant sum by threatening to falsely accuse them of orchestrating an elaborate financial scam. The act involves inducing fear of serious criminal accusations to extort financial compliance.",,,
388,if someone commits extortion by putting another person in fear of false accusations related to serious crimes,"Sarah, seeking to extort money, threatens her business partner with false accusations of embezzlement unless a significant amount is transferred to her account. Her goal is to instill fear of serious criminal charges and force compliance with her financial demands.",,,
389,if someone attempts to extort by putting a person in fear of false accusations related to serious crimes,Michael attempts to extort money from his former colleague by threatening to falsely accuse them of a major financial fraud unless they comply with his demands. His aim is to induce fear of serious criminal accusations and coerce compliance with his financial requests.,,,
389,if someone attempts to extort by putting a person in fear of false accusations related to serious crimes,John attempts to extort money from his neighbor by threatening to falsely accuse them of a serious crime unless they pay a large sum. His intention is to create fear of damaging false accusations and coerce compliance with his financial demands.,,,
390,"In all robbery there is either theft or extortion.
When theft is robbery — Theft is “robbery” if, in order to the committing of the theft, or in committing the theft, or in carrying away or attempting to carry away property obtained by the theft, the offender, for that end, voluntarily causes or attempts to cause to any person death or hurt or wrongful restraint, or fear of instant death or of instant hurt, or of instant wrongful restraint.
When extortion is robbery — Extortion is “robbery” if the offender, at the time of committing the extortion, is in the presence of the person put in fear, and commits the extortion by putting that person in fear of instant death, of instant hurt, or of instant wrongful restraint to that person or to some other person, and, by so putting in fear, induces the person, so put in fear then and there to deliver up the thing extorted.","During a robbery, Mark, in the act of theft, intentionally causes harm to a bystander to facilitate the crime. The incident transforms into robbery as he voluntarily inflicts fear of immediate harm, elevating the offense. Alternatively, in an extortion-based robbery, Rachel, in the presence of the victim, induces fear of instant harm to coerce the immediate surrender of valuables.",,,
390,"In all robbery there is either theft or extortion.
When theft is robbery — Theft is “robbery” if, in order to the committing of the theft, or in committing the theft, or in carrying away or attempting to carry away property obtained by the theft, the offender, for that end, voluntarily causes or attempts to cause to any person death or hurt or wrongful restraint, or fear of instant death or of instant hurt, or of instant wrongful restraint.
When extortion is robbery — Extortion is “robbery” if the offender, at the time of committing the extortion, is in the presence of the person put in fear, and commits the extortion by putting that person in fear of instant death, of instant hurt, or of instant wrongful restraint to that person or to some other person, and, by so putting in fear, induces the person, so put in fear then and there to deliver up the thing extorted.","In a robbery involving theft, Sarah, in the course of stealing a valuable item, injures a store clerk to facilitate the crime, transforming it into a robbery. On the other hand, in an extortion-based robbery, Alex, present with the victim, induces fear of instant harm, compelling them to promptly hand over their belongings to avoid imminent danger.",,,
391,"If five or more people together commit or attempt to commit a robbery, or if the total number of people involved (including those aiding) is five or more, it is called ""dacoity"" in the Indian Penal Code.","A group of six individuals collaborates to commit a robbery at a jewelry store, collectively engaging in criminal activities. Under the Indian Penal Code, this coordinated act is classified as ""dacoity"" due to the involvement of five or more people in the commission or attempted commission of the robbery.",,,
391,"If five or more people together commit or attempt to commit a robbery, or if the total number of people involved (including those aiding) is five or more, it is called ""dacoity"" in the Indian Penal Code.","Seven individuals plan and attempt to rob a bank, coordinating their efforts in the commission of the crime. In accordance with the Indian Penal Code, this criminal act qualifies as ""dacoity"" since the total number of people involved in the attempted robbery exceeds five.",,,
392," Whoever commits robbery , if the robbery be committed on the highway between sunset and sunrise.","Late at night, a group of masked individuals stages a robbery on a deserted highway, targeting passing vehicles. The criminal act, occurring between sunset and sunrise, falls under the category specified in the law concerning highway robberies.",,,
392," Whoever commits robbery , if the robbery be committed on the highway between sunset and sunrise.","Under the cover of darkness, a gang intercepts a truck transporting goods on a highway, committing robbery during the night hours. The criminal activity, taking place between sunset and sunrise, aligns with the conditions outlined in the law regarding highway robberies.",,,
393,attempt to commit robbery,"intruders armed with weapons attempt to break into a residence with the intention of robbing the occupants. However, the residents have a robust security system, and their quick response prompts the intruders to flee before any property is taken.",,,
393,attempt to commit robbery,"A group of individuals plans to rob a bank. As they attempt to enter the bank with weapons, an alert security guard notices suspicious behavior and alerts the authorities.",,,
393,attempt to commit robbery,"A person on the street attempts to snatch a bag from a pedestrian, intending to rob them. However, nearby witnesses intervene, and the would-be robber is unable to escape with the stolen items.",,,
393,If someone tries to commit robbery,"Caught in the act of attempting to rob a convenience store, Mark faces the possibility of up to seven years of rigorous imprisonment and a potential fine. The law stipulates penalties for those who engage in the attempt to commit robbery, reflecting the severity of the offense.",,,
393,If someone tries to commit robbery,"While in the midst of a failed robbery attempt at a bank, Sarah realizes the potential consequences: a sentence of up to seven years of rigorous imprisonment and a substantial fine. The legal repercussions underscore the gravity of attempting to commit robbery under the applicable law.",,,
394,"If any person, in committing or in attempting to commit robbery, voluntarily causes hurt, such person, and any other person jointly concerned in committing or attempting to commit such robbery","During a failed robbery attempt at a jewelry store, Alex, in an effort to subdue a store clerk, inflicts harm. Under the law, both Alex and his accomplice, who was involved in the joint criminal endeavor, are held liable for voluntarily causing hurt during the commission of the robbery.",,,
394,"If any person, in committing or in attempting to commit robbery, voluntarily causes hurt, such person, and any other person jointly concerned in committing or attempting to commit such robbery","In the course of attempting a robbery, Sarah and John, acting together, injure a security guard to facilitate the crime. According to the law, both individuals are jointly liable for voluntarily causing harm during the commission of the robbery.",,,
395,Whoever commits dacoity,"A group of masked individuals, armed with weapons, forcefully entered a remote farmhouse late at night. With calculated precision, they intimidated the occupants, restrained them, and systematically looted the entire premises. ",,,
395,Whoever commits dacoity,"a gang of criminals strategically blocked the path of a cargo truck carrying valuable goods. Armed with firearms, they overpowered the truck drivers and the security personnel, engaging in a systematic and organized looting of the cargo. ",,,
396," If any one of five or more persons, who are conjointly committing dacoity, commits murder in so committing dacoity","a notorious gang of five criminals, armed with deadly weapons, barged into a small farmhouse to commit dacoity. During the course of the robbery, tensions escalated, and one of the assailants, named Rahul, ruthlessly murdered the homeowner. ",,,
396," If any one of five or more persons, who are conjointly committing dacoity, commits murder in so committing dacoity","a group of six individuals engaged in a large-scale dacoity at a high-end jewelry store. In the midst of the criminal activity, one of the offenders, named Sonia, without any provocation, fatally shot a security guard. ",,,
